,Continent,Region,Destination,Female_1990,Female_1995,Female_2000,Female_2005,Female_2010,Female_2015,Female_2019,Male_1990,Male_1995,Male_2000,Male_2005,Male_2010,Male_2015,Male_2019
63,Africa,Western Asia,Iraq,18688,70156,72960,37935,31039,138796,142139,43226,103692,113292,67154,58248,192408,197055
64,Africa,Western Asia,Israel,742571,782578,770364,718279,676364,700966,681643,663063,676805,661045,613590,572119,586630,570478
65,Africa,Western Asia,Jordan,557921,750148,942387,1138232,1334050,1522875,1637675,583678,781675,979662,1177919,1376326,1539056,1655112
66,Africa,Western Asia,Kuwait,391486,306189,336357,373015,498135,894013,946622,618843,557175,715401,857453,1217913,1789828,1895181
67,Africa,Western Asia,Lebanon,253484,295353,337224,364659,392095,1023597,966868,265518,308253,350989,388445,425902,947359,894869
68,Africa,Western Asia,Oman,59792,115136,125592,127703,144658,279455,344182,239560,405948,470774,510519,638442,1501439,1849253
69,Africa,Western Asia,Qatar,79126,85808,79267,136194,230122,256690,368064,215249,256187,259386,472207,1141558,1361859,1791133
70,Africa,Western Asia,Saudi Arabia,1461180,1489684,1522089,1774141,2179712,2880143,3586098,2917212,2997558,3088394,3921159,5204557,6526559,7873715
71,Africa,Western Asia,State of Palestine,143711,141143,138574,134446,130314,129338,128434,120588,117138,113688,108449,103212,101903,101196
72,Africa,Western Asia,Syrian Arab Republic,121486,145337,189916,380886,791478,394440,391678,127246,147556,197646,397896,822132,408592,408289
73,Africa,Western Asia,Turkey,488736,542063,603307,635265,671898,1877585,2548548,482309,517413,559525,562147,568118,2298902,3166490
74,Africa,Western Asia,United Arab Emirates,353430,479528,639118,825877,1713278,1945956,2090417,887982,1242784,1663526,2271674,5201508,5609978,6025122
75,Africa,Western Asia,Yemen,39115,44060,50156,57320,115203,162817,165268,51136,60285,63981,81310,137730,182709,185481
76,America,Caribbean,Anguilla,873,1148,0,0,1768,1889,1955,1029,1302,0,0,1988,2133,2215
77,America,Caribbean,Antigua and Barbuda,5816,9206,12571,0,14415,15336,15926,5371,7759,10143,0,11588,12313,12806
78,America,Caribbean,Aruba,6322,10622,14908,16887,18233,19198,19408,4777,8380,11989,13257,14557,15298,15478
79,America,Caribbean,Bahamas,12246,14534,16824,21588,26354,28761,30502,13052,16128,19200,23261,27323,29397,31202
80,America,Caribbean,Barbados,10888,11691,12494,11770,11022,11572,11676,7338,8203,9070,8657,8217,8631,8712
81,America,Caribbean,"Bonaire, Sint Eustatius and Saba",20659,22394,24129,25702,5664,6427,7634,16771,17822,18868,20096,5209,5926,7062
82,America,Caribbean,British Virgin Islands,3447,4156,4855,5563,6984,7817,8478,3681,4228,4776,5472,6818,7639,8297
83,America,Caribbean,Cayman Islands,4691,6287,9450,10115,11694,12729,14068,4543,6288,9604,10452,12251,13331,14757
84,America,Caribbean,Cuba,14494,11450,8386,5601,3117,2502,2300,14157,10272,6395,4283,2366,1871,1705
85,America,Caribbean,Curaçao,0,0,0,0,20094,21783,23660,0,0,0,0,13905,15147,16464
86,America,Caribbean,Dominica,896,1179,1392,1707,2942,2866,2913,968,1273,1532,1881,3202,3168,3233
87,America,Caribbean,Dominican Republic,107649,122481,137274,144619,150926,191564,197970,179241,196195,213130,224127,233542,347963,359596
88,America,Caribbean,Grenada,1402,1815,2235,2330,2436,2462,2479,1369,1727,2085,2191,2297,2323,2346
89,America,Caribbean,Guadeloupe,31115,35897,40666,44945,49216,51553,52338,30759,34077,37394,38844,40291,41313,41952
90,America,Caribbean,Haiti,7660,7265,6890,6536,6856,7190,7466,9599,9120,8664,8229,8639,9069,9434
91,America,Caribbean,Jamaica,9263,10167,11072,10718,10365,10141,10274,8743,9898,11055,10842,10632,10403,10539
92,America,Caribbean,Martinique,18956,23559,28159,30197,32234,33688,33643,18032,21372,24711,25140,25568,26208,26173
93,America,Caribbean,Montserrat,711,571,427,443,459,481,490,769,616,466,478,492,516,526
94,America,Caribbean,Puerto Rico,163170,171622,180570,176953,152242,137583,131490,148511,155630,163092,159277,134320,120307,114033
95,America,Caribbean,Saint Kitts and Nevis,675,883,1201,1363,1476,1507,1531,671,900,1264,1439,1562,1610,1640
96,America,Caribbean,Saint Lucia,1875,2481,3429,4057,4345,4152,4006,1676,2231,3138,3704,4006,3824,3696
97,America,Caribbean,Saint Vincent and the Grenadines,1897,1973,2053,2084,2112,2125,2130,1770,1848,1928,2015,2112,2163,2205
98,America,Caribbean,Sint Maarten (Dutch part),0,0,0,6033,12084,12621,13051,0,0,0,5513,10999,11428,11833
99,America,Caribbean,Trinidad and Tobago,25014,22759,20399,21943,21517,21975,26857,21631,19585,17402,18628,19423,20650,25267
100,America,Caribbean,Turks and Caicos Islands,2162,2848,3760,4042,6399,8798,9495,2319,3053,3986,4198,6535,8962,9680
101,America,Caribbean,United States Virgin Islands,20101,22564,25090,25782,26496,26515,26521,18400,20427,22484,22977,23473,23480,23490
102,America,Central America,Belize,13556,15460,0,0,22311,26464,29033,15758,16857,0,0,22886,26831,29444
103,America,Central America,Costa Rica,102456,98695,148312,0,201919,206272,207929,105726,104260,150886,0,188319,189985,194133
104,America,Central America,El Salvador,24918,20796,16676,18858,21041,21908,22189,21943,18344,14744,16849,18954,19794,20059
105,America,Central America,Guatemala,151418,89082,26723,30989,35254,39975,41007,112466,66724,20983,25774,30566,35729,36670
106,America,Central America,Honduras,132743,73256,13770,13324,12880,18036,18308,137391,75899,14408,14274,14137,19880,20197
107,America,Central America,Mexico,344033,225196,262770,346958,470781,494667,509969,345295,225969,266537,353372,481772,497099,512510
108,America,Central America,Nicaragua,19832,12658,14154,16019,17019,18279,19153,19970,12655,14533,16681,17965,19473,20394
109,America,Central America,Panama,29232,33614,40391,56808,75132,88449,88980,32673,36159,41725,58729,79418,93062,92390
110,America,North America,Bermuda,7800,8241,8681,0,9171,9272,9359,7230,7739,8249,0,8686,8814,8908
111,America,North America,Canada,2206844,2479389,2810344,0,3447098,3808125,4080750,2093546,2328461,2619289,0,3160687,3443768,3690389
112,America,North America,Greenland,2767,2221,1942,2037,1884,1875,1840,6455,4818,4537,4370,4000,3650,3583
113,America,North America,Saint Pierre and Miquelon,475,561,615,540,478,463,463,470,586,661,587,519,504,506
114,America,North America,United States of America,10343758,13480420,16654007,18497394,21336587,23294168,24603262,9632841,12892229,16218336,18131269,20271033,21924783,22861383
115,America,South America,Argentina,814574,796469,0,0,954375,1103054,1170240,750396,715656,0,0,813122,938899,997520
116,America,South America,Bolivia (Plurinational State of),24421,27490,30311,0,39098,45501,49630,26330,29802,33020,0,44075,51303,56000
117,America,South America,Brazil,343932,317758,291553,273055,254803,307296,346016,393173,362640,332108,314075,296355,349405,393490
118,America,South America,Chile,36415,53124,69549,119683,169830,309823,456926,38279,49893,61817,105647,149481,272948,409467
119,America,South America,Colombia,49535,50666,51761,50355,56924,63076,563727,51206,52714,54224,53739,63327,71516,572793
120,America,South America,Ecuador,39301,49508,59676,74323,133262,151487,149188,37410,48677,59952,75430,139218,159045,156487
121,America,South America,Falkland Islands (Malvinas),339,328,399,444,592,657,792,458,464,586,607,761,823,997
