,Continent,Region,Origin,Female,Male
269,Africa,Southern Africa,Barbados,38.0,156.0
270,Africa,Southern Africa,Belarus,760.0,669.0
271,Africa,Southern Africa,Belgium,25976.0,26363.0
272,Africa,Southern Africa,Benin,1186.0,1402.0
273,Africa,Southern Africa,Bermuda,167.0,234.0
274,Africa,Southern Africa,Bolivia (Plurinational State of),875.0,211.0
275,Africa,Southern Africa,Bosnia and Herzegovina,795.0,474.0
276,Africa,Southern Africa,Botswana,94164.0,162318.0
277,Africa,Southern Africa,Brazil,12230.0,9223.0
278,Africa,Southern Africa,British Virgin Islands,38.0,104.0
279,Africa,Southern Africa,Brunei Darussalam,80.0,62.0
280,Africa,Southern Africa,Bulgaria,13819.0,12915.0
281,Africa,Southern Africa,Burkina Faso,307.0,279.0
282,Africa,Southern Africa,Burundi,21352.0,19411.0
283,Africa,Southern Africa,Cameroon,5418.0,11963.0
284,Africa,Southern Africa,Canada,18977.0,17721.0
285,Africa,Southern Africa,Central African Republic,176.0,614.0
286,Africa,Southern Africa,Chile,2199.0,2554.0
287,Africa,Southern Africa,China,73916.0,101223.0
288,Africa,Southern Africa,"China, Hong Kong SAR",5768.0,5402.0
289,Africa,Southern Africa,Colombia,2160.0,1166.0
290,Africa,Southern Africa,Comoros,194.0,1124.0
291,Africa,Southern Africa,Congo,49109.0,66355.0
292,Africa,Southern Africa,Croatia,2950.0,3073.0
293,Africa,Southern Africa,Cuba,6991.0,7243.0
294,Africa,Southern Africa,Cyprus,14185.0,13371.0
295,Africa,Southern Africa,Czechia,6136.0,6485.0
296,Africa,Southern Africa,Côte d'Ivoire,2542.0,5461.0
297,Africa,Southern Africa,Dem People's Republic of Korea,781.0,970.0
298,Africa,Southern Africa,Democratic Republic of the Congo,116415.0,84127.0
299,Africa,Southern Africa,Denmark,8324.0,8354.0
300,Africa,Southern Africa,Egypt,12949.0,14318.0
301,Africa,Southern Africa,Eritrea,1694.0,2074.0
302,Africa,Southern Africa,Estonia,161.0,703.0
303,Africa,Southern Africa,Eswatini,164411.0,215872.0
304,Africa,Southern Africa,Ethiopia,10420.0,12006.0
305,Africa,Southern Africa,Fiji,143.0,162.0
306,Africa,Southern Africa,Finland,3640.0,1285.0
307,Africa,Southern Africa,France,27972.0,24898.0
308,Africa,Southern Africa,Gabon,967.0,1126.0
309,Africa,Southern Africa,Gambia,394.0,318.0
310,Africa,Southern Africa,Germany,229557.0,197817.0
311,Africa,Southern Africa,Ghana,16595.0,30122.0
312,Africa,Southern Africa,Gibraltar,67.0,252.0
313,Africa,Southern Africa,Greece,25135.0,27598.0
314,Africa,Southern Africa,Guatemala,194.0,411.0
315,Africa,Southern Africa,Guinea,366.0,592.0
316,Africa,Southern Africa,Guinea-Bissau,131.0,63.0
317,Africa,Southern Africa,Guyana,215.0,156.0
318,Africa,Southern Africa,Iceland,29.0,151.0
319,Africa,Southern Africa,India,92970.0,103006.0
320,Africa,Southern Africa,Indonesia,4767.0,4175.0
321,Africa,Southern Africa,Iran (Islamic Republic of),2571.0,2399.0
322,Africa,Southern Africa,Iraq,270.0,801.0
323,Africa,Southern Africa,Ireland,42849.0,32088.0
324,Africa,Southern Africa,Israel,13882.0,14341.0
325,Africa,Southern Africa,Italy,71464.0,76387.0
326,Africa,Southern Africa,Jamaica,840.0,463.0
327,Africa,Southern Africa,Japan,6503.0,5293.0
328,Africa,Southern Africa,Jordan,156.0,215.0
329,Africa,Southern Africa,Kenya,56323.0,46190.0
330,Africa,Southern Africa,Kuwait,176.0,429.0
331,Africa,Southern Africa,Kyrgyzstan,99.0,65.0
332,Africa,Southern Africa,Lao People's Democratic Republic,96.0,108.0
333,Africa,Southern Africa,Latvia,840.0,1679.0
334,Africa,Southern Africa,Lebanon,3252.0,3358.0
335,Africa,Southern Africa,Lesotho,613086.0,832896.0
336,Africa,Southern Africa,Liberia,2850.0,1604.0
337,Africa,Southern Africa,Libya,362.0,1014.0
338,Africa,Southern Africa,Lithuania,1408.0,1003.0
