,Continent,Region,Destination,Female,Male
194,Europe,Southern Europe,Portugal,1948731.0,1819713.0
195,Europe,Southern Europe,San Marino,12900.0,15814.0
196,Europe,Southern Europe,Serbia,2735689.0,2220230.0
197,Europe,Southern Europe,Slovenia,663216.0,785320.0
198,Europe,Southern Europe,Spain,12230149.0,12052503.0
199,Europe,Western Europe,Austria,3732052.0,3414829.0
200,Europe,Western Europe,Belgium,4184734.0,4182026.0
201,Europe,Western Europe,France,20753987.0,19289626.0
202,Europe,Western Europe,Germany,30793804.0,31768703.0
203,Europe,Western Europe,Liechtenstein,63368.0,63932.0
204,Europe,Western Europe,Luxembourg,611837.0,615395.0
205,Europe,Western Europe,Monaco,43840.0,40087.0
206,Europe,Western Europe,Netherlands,5987022.0,5635838.0
207,Europe,Western Europe,Switzerland,6066288.0,6025875.0
208,Oceania,Australia / New Zealand,Australia,13816372.0,13752347.0
209,Oceania,Australia / New Zealand,New Zealand,2353424.0,2229684.0
210,Oceania,Melanesia,Fiji,27731.0,31140.0
211,Oceania,Melanesia,New Caledonia,116413.0,140892.0
212,Oceania,Melanesia,Papua New Guinea,83264.0,123599.0
213,Oceania,Melanesia,Solomon Islands,8953.0,11516.0
214,Oceania,Melanesia,Vanuatu,6370.0,6601.0
215,Oceania,Micronesia,Guam,169230.0,190934.0
216,Oceania,Micronesia,Kiribati,6139.0,6484.0
217,Oceania,Micronesia,Marshall Islands,5764.0,9003.0
218,Oceania,Micronesia,Micronesia (Fed States of),3114.0,4075.0
219,Oceania,Micronesia,Nauru,5345.0,6963.0
220,Oceania,Micronesia,Northern Mariana Islands,106570.0,89410.0
221,Oceania,Micronesia,Palau,13695.0,19717.0
222,Oceania,Polynesia,American Samoa,54037.0,57650.0
223,Oceania,Polynesia,Cook Islands,7974.0,8664.0
224,Oceania,Polynesia,French Polynesia,73613.0,103765.0
225,Oceania,Polynesia,Niue,1490.0,1781.0
226,Oceania,Polynesia,Samoa,9852.0,10186.0
227,Oceania,Polynesia,Tokelau,1162.0,1109.0
228,Oceania,Polynesia,Tonga,3565.0,3888.0
229,Oceania,Polynesia,Tuvalu,547.0,513.0
230,Oceania,Polynesia,Wallis and Futuna Islands,5330.0,5480.0
