;Origin;Female;Male;Region;Continent;;;
173;Saudi Arabia;572116.0;739553.0;Western Asia;Asia;;;
188;State of Palestine;10041439.0;10513626.0;Western Asia;Asia;;;
193;Syrian Arab Republic;7727599.0;10690920.0;Western Asia;Asia;;;
202;Turkey;9519500.0;10378100.0;Western Asia;Asia;;;
208;United Arab Emirates;360009.0;446778.0;Western Asia;Asia;;;
3;Austria;1907239.0;1618363.0;Western Europe;Europe;;;
10;Belgium;1718725.0;1424942.0;Western Europe;Europe;;;
66;France;6161940.0;5723273.0;Western Europe;Europe;;;
72;Germany;12514092.0;10914810.0;Western Europe;Europe;;;
111;Liechtenstein;12588.0;9728.0;Western Europe;Europe;;;
113;Luxembourg;184130.0;176469.0;Western Europe;Europe;;;
127;Monaco;62346.0;58467.0;Western Europe;Europe;;;
137;Netherlands;2668924.0;2659447.0;Western Europe;Europe;;;
192;Switzerland;1867585.0;1584765.0;Western Europe;Europe;;;
